street,domain,qid,wikidata_label,sitelinks,km_from_ada_county,same_name_items,other_domains,verdict,notes,pass
North Techne Lane,greek_deity,Q126913652,Techne,0,,1,-,y,,1
West Sooty Grouse Court,bird,Q1265902,Sooty Grouse,25,,1,-,y,,1
South Shawnee Way,us_ethnic_group,Q253436,Shawnee,44,,1,-,y,,1
West Prickly Pear Drive,plant,Q292801,Prickly pear,11,,3,-,y,,1
North Mount Hood Avenue,us_mountain,Q275662,Mount Hood,43,483,2,-,y,,1
West Rifleman Court,bird,Q646366,Rifleman,38,,2,-,y,,1
North Sable Lane,mammal,Q26423,Sable,86,,1,-,y,,1
West Madison Avenue,us_president,Q11813,James Madison,176,,1,-,y,,1
East Carnation Court,plant,Q158984,carnation,78,,1,-,y,,1
West Snowcap Drive,bird,Q524681,Snowcap,24,,1,-,y,,1
West Norway Street,country,Q20,Norway,393,7547,1,-,y,,1
East Jack Creek Street,us_river,Q6111879,Jack Creek,2,1683,4,-,n,Probably invented. There is a Jack Creek in Idaho but it’s unnotable,2
West Bellevue Street,idaho_place,Q1516909,Bellevue,40,160,1,-,y,,1
East Geranium Street,plant,Q146118,Geranium,64,,1,-,y,,1
West Montana Avenue,us_state,Q1212,Montana,216,628,1,-,y,,1
West Cobalt Lake Drive,us_lake,Q5138715,Cobalt Lake,1,595,2,-,y,Glacier Lake is notable. Semi-obscure pick but seems totally valid,2
West Poppy Street,plant,Q146391,poppy,79,,1,-,y,,1
West Muirfield Drive,golf_course,Q1951987,Muirfield,10,7321,1,-,y,,1
East Cutgrass Lane,plant,Q158961,cutgrass,32,,4,-,y,,1
South Saturn Way,roman_deity,Q134388,Saturn,87,,1,-,n,"planet, revealed by nearby street Jupiter",1
South Blue Jay Place,bird,Q199758,Blue Jay,74,,1,-,y,,1
South Lynx Avenue,constellation,Q10443,Lynx,84,,1,-,q,could be the animal,1
East Lake Creek Drive,us_river,Q22954077,Lake Creek,3,610,9,-,n,Almost certainly invented,2
West Grand Teton Court,us_mountain,Q2078034,Grand Teton,25,439,1,-,y,,1
West Atlas Lane,greek_deity,Q130818,Atlas,86,,1,-,y,,1
South Coyote Place,mammal,Q44299,coyote,108,,2,-,y,,1
West Wild Sheep Lane,mammal,Q186267,Wild Sheep,71,,1,-,y,,1
West Turtle Creek Drive,us_river,Q7856388,Turtle Creek,4,3026,8,-,n,invented,1
West Thor Drive,norse_deity,Q42952,Thor,105,,1,us_president,y,,1
North Trail Creek Lane,us_river,Q7832719,Trail Creek,2,2396,2,-,n,Almost certainly invented,2
West Red Deer Court,mammal,Q79794,red deer,109,,1,-,y,,1
South Umatilla Avenue,us_ethnic_group,Q491747,Umatilla,14,,1,-,y,,1
West Stephanie Court,grape_variety,Q112255264,Stephanie,1,,1,-,n,nearby streets are given names,1
West Crater Lake Court,us_lake,Q329266,Crater Lake,52,479,3,-,y,,1
South Island Fox Avenue,mammal,Q722180,Island fox,49,,1,-,y,,1
West Cory Court,fish,Q147894,Cory,38,,1,-,n,probably a name,1
West Murphy Road,idaho_place,Q961918,Murphy,23,36,1,-,q,Still ambiguous,2
North Trumpet Place,fish,Q1861277,Trumpet,19,,1,plant,n,nearby street suggests instrument,1
North Bogus Basin Road,ski_resort,Q4937866,Bogus Basin,5,37,1,idaho_place,y,,1
West Tiger Perch Court,fish,Q2655115,Tiger perch,26,,1,-,y,,1
West Indus Street,constellation,Q10450,Indus,82,,1,-,q,"probably not constellation, but nearby streets are no help",1
South Appaloosa Drive,horse_breed,Q620656,Appaloosa,42,,1,-,y,,1
South Redhead Avenue,bird,Q692192,Redhead,40,,1,-,y,,1
East Ocelot Court,mammal,Q33261,Ocelot,91,,1,-,y,,1
West Bufflehead Street,bird,Q576762,Bufflehead,45,,1,-,y,,1
West Suttle Lake Drive,us_lake,Q117764,Suttle Lake,5,453,1,-,y,,1
North Skipper Avenue,fish,Q1886478,skipper,22,,2,-,n,"Fish doesn’t seem very plausible, but still no idea",2
North Long Lake Way,us_lake,Q49304601,Long Lake,1,136,244,-,n,"too generic of a name, must be invented",2
West Silver City Court,idaho_place,Q7515893,Silver City,6,63,1,-,y,,1
East Carter Street,us_president,Q23685,Jimmy Carter,200,,1,grape_variety,q,year is plausible for president. Grape variety not plausible. Suggested: confidence is greater for older presidents,1
West Gloxinia Street,plant,Q5239844,gloxinia,21,,1,-,y,,1
South Ringtail Avenue,fish,Q1094327,Ringtail,17,,1,mammal,n,"Definitely bird related due to Circinae nearby, but that may be ambiguous",1
West Summer Hill Drive,us_mountain,Q49079897,Summer Hill,2,3602,1,-,n,"probably invented, used as subdivision name. Other street names invented. Idea: invented confidence goes up for multiple invented streets",1
North Dawn Street,mineral,Q133867079,Dawn,3,,1,gemstone,n,probably a name,1
North Chestnut Hill Way,us_mountain,Q25203991,Chestnut Hill,2,3366,41,-,n,"too generic of a name, must be invented",2
North Rhine Avenue,roman_deity,Q130343611,Rhine,0,,1,-,n,personification of the river implausible over the river itself,1
East Roaring Creek Street,us_river,Q25208930,Roaring Creek,2,3053,1,-,n,coincidental invented name,2
South Bolinas Avenue,us_ethnic_group,Q12628100,Bolinas,1,,1,-,y,,1
East Griffon Street,dog_breed,Q1028186,griffon,10,,1,-,y,,1
West Avon Street,idaho_place,Q19865161,Avon,3,377,1,-,n,"probably refers to a river, but generically. Unclear how we would handle this",1
West Bloomington Drive,idaho_place,Q1513388,Bloomington,41,419,1,-,n,"proximity reveals Bloomington, Illinois as correct choice",1
West Bobwhite Court,bird,Q142651,Bobwhite,35,,1,-,y,,1
West King Way,plant,Q1042895,King,23,,1,-,n,"plant genus is implausible, but totally ambiguous from nearby streets",1
North Bunchberry Way,plant,Q157677,Bunchberry,30,,1,-,y,,1
North June Grass Avenue,plant,Q159962,June grass,23,,1,-,y,,1
West Arizona Lane,us_state,Q816,Arizona,245,1093,1,-,y,,1
South Palomino Drive,grape_variety,Q657693,Palomino,17,,1,-,n,Should be the horse color,1
South Alaska Avenue,us_state,Q797,Alaska,262,3117,1,-,y,,1
