street,domain,qid,wikidata_label,description,sitelinks,km_from_ada_county,same_name_items_in_domain,other_domains,via,url,verdict__y_n_w_q,notes
North Cherry Creek Place,us_river,Q2962773,Cherry Creek,tributary of the South Platte River,5,1019,2,idaho_place,full,https://www.wikidata.org/wiki/Q2962773,q,"ambiguous, use proximity"
North Grey Hawk Avenue,bird,Q10741794,Grey Hawk,species of bird,18,,1,-,full,https://www.wikidata.org/wiki/Q10741794,y,
South Stanley Street,idaho_place,Q1513555,Stanley,"city in Custer County, Idaho, United States",40,135,1,-,full,https://www.wikidata.org/wiki/Q1513555,y,
West Summit Peak Drive,us_mountain,Q7637850,Summit Peak,mountain in United States of America,5,1054,1,-,full,https://www.wikidata.org/wiki/Q7637850,q,probably invented
South Diana Lane,grape_variety,Q112246379,Diana,American rouge grape variety,1,,1,roman_deity,full,https://www.wikidata.org/wiki/Q112246379,n,ambiguous
West Crescent Court,idaho_place,Q19879194,Crescent,"human settlement in Idaho, United States",3,355,1,-,full,https://www.wikidata.org/wiki/Q19879194,n,ambiguous
West Seneca Drive,us_ethnic_group,Q213422,Seneca,indigenous people of North America,37,,1,grape_variety,full,https://www.wikidata.org/wiki/Q213422,y,
West Hidden Valley Drive,ski_resort,Q5751994,Hidden Valley,"former ski resort in Colorado, USA",1,,2,-,full,https://www.wikidata.org/wiki/Q5751994,n,"common, ambiguous"
West Colton Lane,us_president,Q5531983,General Joseph Colton,"original ""G.I. Joe""",3,,1,-,surname,https://www.wikidata.org/wiki/Q5531983,q,try proximity
North Big River Place,us_river,Q4906196,Big River,"river in Mendocino County, California (USA), south of Mendocino Village",7,766,8,-,full,https://www.wikidata.org/wiki/Q4906196,n,"ambiguous, possibly invented"
West Camas Lane,plant,Q4992158,camas,species of plant,14,,1,-,full,https://www.wikidata.org/wiki/Q4992158,y,should have also come up as Idaho county
North Nemea Avenue,greek_deity,Q1977078,Nemea,"naiad, mythical daughter of Asopus or Zeus",9,,1,-,full,https://www.wikidata.org/wiki/Q1977078,n,"CORRECTED by AP after LLM review: snap judgement. Subdivision is Greek PLACES (Naxos, Mikonos, Delphi, Kalamata, Pindus); Nemea is the town in Corinthia, not the deity. Flagged independently by Opus and Sonnet."
East Woodvine Court,plant,Q7396081,woodvine,genus of plants,11,,1,-,full,https://www.wikidata.org/wiki/Q7396081,y,
North Booth Avenue,us_president,Q7241241,President Robert L. Booth,,1,,1,-,surname,https://www.wikidata.org/wiki/Q7241241,n,this is a fictional president in Judge Dredd. Either code or Wikidata needs fix
North Cedar Avenue,idaho_place,Q117025266,Cedar,"unincorporated community in Twin Falls, Idaho, United States",0,157,1,plant,full,https://www.wikidata.org/wiki/Q117025266,n,should be the tree
West President Drive,us_president,Q24043569,The President,National Treasure: Book of Secrets character,0,,1,-,surname,https://www.wikidata.org/wiki/Q24043569,n,seems to refer to the office itself. This fictional president definitely shouldn’t show up
South Alyeska Lane,ski_resort,Q9147336,Alyeska,"ski resort in Alaska, USA",6,2913,1,-,full,https://www.wikidata.org/wiki/Q9147336,n,should refer to the Aleut word for Alaska
South Neptune Place,roman_deity,Q3954,Neptune,"Roman god of water, particularly the sea, considered equivalent to the Greek Poseidon",92,,1,-,full,https://www.wikidata.org/wiki/Q3954,n,"should be the planet, use proximity"
West Gidran Court,horse_breed,Q285445,Gidran,horse breed,11,,1,-,full,https://www.wikidata.org/wiki/Q285445,y,
South Henry Street,idaho_place,Q114186102,Henry,"unincorporated community in Caribou County, Idaho, United States",0,387,1,-,full,https://www.wikidata.org/wiki/Q114186102,n,common name
South Golden Eagle Lane,bird,Q41181,Golden Eagle,species of bird of prey,110,,1,-,full,https://www.wikidata.org/wiki/Q41181,y,
South Hydra Avenue,constellation,Q10578,Hydra,constellation straddling the celestial equator,89,,1,-,full,https://www.wikidata.org/wiki/Q10578,y,
South Barracuda Avenue,fish,Q193921,barracuda,"genus of fishes, the Barracudas",52,,7,-,full,https://www.wikidata.org/wiki/Q193921,y,
West Taft Street,us_president,Q35648,William Howard Taft,27th President of the United States from 1909 to 1913 (1857–1930),147,,1,-,surname,https://www.wikidata.org/wiki/Q35648,y,
